id,polarization,mean intention,adoption rate
200,-0.3104190123321825,-0.3104190123321825,0.42
201,-0.8237048072236515,-0.8237048072236515,0.12
202,-0.5902717765932843,-0.5902717765932843,0.23
203,-0.5494055486369781,-0.5494055486369781,0.25
204,-0.7663074638889047,-0.7663074638889047,0.15
205,-0.5864885829153268,-0.5864885829153268,0.19
206,-0.7336323514673657,-0.7336323514673657,0.12
207,-0.7144235775426547,-0.7144235775426547,0.13
208,-0.786062579242064,-0.786062579242064,0.09
209,-0.6858714595593576,-0.6858714595593576,0.15
210,-0.5556762402709395,-0.5556762402709395,0.27
211,-0.6737393620397397,-0.6737393620397397,0.18
212,-0.6622704967186046,-0.6622704967186046,0.15
213,-0.7878550805614131,-0.7878550805614131,0.14
214,-0.7283588832806757,-0.7283588832806757,0.13
215,-0.5676650028193061,-0.5676650028193061,0.16
216,-0.7684885904136455,-0.7684885904136455,0.14
217,-0.7746009749696665,-0.7746009749696665,0.09
218,-0.6132296624771225,-0.6132296624771225,0.17
219,-0.8313062602615993,-0.8313062602615993,0.13
220,-0.7293994464332516,-0.7293994464332516,0.12
221,-0.7179168181202874,-0.7179168181202874,0.2
222,-0.8528492406122206,-0.8528492406122206,0.1
223,-0.7474632765106851,-0.7474632765106851,0.16
224,-0.7862357628626989,-0.7862357628626989,0.08
225,-0.7522114023986508,-0.7522114023986508,0.13
226,-0.7587254452756628,-0.7587254452756628,0.21
227,-0.7304479019598389,-0.7304479019598389,0.14
228,-0.6300714739302766,-0.6300714739302766,0.13
229,-0.6729030512300396,-0.6729030512300396,0.17
230,-0.6597319435254485,-0.6597319435254485,0.19
231,-0.751307244689621,-0.751307244689621,0.14
232,-0.6003428269720305,-0.6003428269720305,0.18
233,-0.8052380257895486,-0.8052380257895486,0.15
234,-0.7840466659539937,-0.7840466659539937,0.18
235,-0.5384786529734954,-0.5384786529734954,0.21
236,-0.7209488517188879,-0.7209488517188879,0.2
237,-0.5903102154173248,-0.5903102154173248,0.2
238,-0.7021443979729525,-0.7021443979729525,0.16
239,-0.8923657581997213,-0.8923657581997213,0.08
240,-0.7606804376970798,-0.7606804376970798,0.12
241,-0.7614781927817502,-0.7614781927817502,0.15
242,-0.5917072195090634,-0.5917072195090634,0.2
243,-0.5537910044178554,-0.5537910044178554,0.33
244,-0.6846978265893273,-0.6846978265893273,0.15
245,-0.5439804859253253,-0.5439804859253253,0.21
246,-0.7695706707821229,-0.7695706707821229,0.2
247,-0.6289895999684354,-0.6289895999684354,0.23
248,-0.7376678630656968,-0.7376678630656968,0.17
249,-0.7705457971242464,-0.7705457971242464,0.14
250,-0.8330636683938605,-0.8330636683938605,0.15
251,-0.7675433949539118,-0.7675433949539118,0.11
252,-0.4919775190837859,-0.4919775190837859,0.27
253,-0.6403217514659318,-0.6403217514659318,0.14
254,-0.7911373186289015,-0.7911373186289015,0.14
255,-0.609436871286076,-0.609436871286076,0.2
256,-0.854072062460582,-0.854072062460582,0.03
257,-0.74288640127308,-0.74288640127308,0.19
258,-0.7350835580853389,-0.7350835580853389,0.12
259,-0.854954555222803,-0.854954555222803,0.14
260,-0.7373018140138748,-0.7373018140138748,0.15
261,-0.7700434940280312,-0.7700434940280312,0.14
262,-0.7744892730122678,-0.7744892730122678,0.17
263,-0.7180421195762509,-0.7180421195762509,0.17
264,-0.6264133860177988,-0.6264133860177988,0.16
265,-0.5965363434706931,-0.5965363434706931,0.27
266,-0.6656933403218317,-0.6656933403218317,0.2
267,-0.7725697502715563,-0.7725697502715563,0.11
268,-0.25456078381141467,-0.25456078381141467,0.33
269,-0.5425496051622317,-0.5425496051622317,0.3
270,-0.5713003643420405,-0.5713003643420405,0.2
271,-0.6194618491552937,-0.6194618491552937,0.25
272,-0.7417320966062313,-0.7417320966062313,0.18
273,-0.7266191797195041,-0.7266191797195041,0.12
274,-0.7394816272990199,-0.7394816272990199,0.18
275,-0.7090306574142947,-0.7090306574142947,0.16
276,-0.6164624569287558,-0.6164624569287558,0.21
277,-0.5155325317817655,-0.5155325317817655,0.22
278,-0.8003245721648194,-0.8003245721648194,0.12
279,-0.5900641603597137,-0.5900641603597137,0.16
280,-0.5508315265721417,-0.5508315265721417,0.2
281,-0.7070278117683628,-0.7070278117683628,0.12
282,-0.8187433396862589,-0.8187433396862589,0.09
283,-0.7812346627494882,-0.7812346627494882,0.19
284,-0.6804916534487662,-0.6804916534487662,0.11
285,-0.5990066362425229,-0.5990066362425229,0.28
286,-0.7045468133981327,-0.7045468133981327,0.12
287,-0.7205529183565954,-0.7205529183565954,0.17
288,-0.58092375322761,-0.58092375322761,0.16
289,-0.7920694850696521,-0.7920694850696521,0.09
290,-0.7239775691395112,-0.7239775691395112,0.17
291,-0.23167123555738547,-0.23167123555738547,0.35
292,-0.6905252664887734,-0.6905252664887734,0.11
293,-0.8184256208057451,-0.8184256208057451,0.1
294,-0.7855855658462474,-0.7855855658462474,0.12
295,-0.7234045325382542,-0.7234045325382542,0.14
296,-0.7939774911536739,-0.7939774911536739,0.11
297,-0.7146581835817628,-0.7146581835817628,0.16
298,-0.8004723345431374,-0.8004723345431374,0.09
299,-0.7185222826334438,-0.7185222826334438,0.18
