id;the_geom;CODE_IRIS;POP
Rouen_iris_number.1;MULTIPOLYGON (((563753.3400000356 6928390.0100015, 563768.4000000356 6928446.300001501, 563780.4000000358 6928484.5000015, 563872.5300000357 6928536.6000015, 563943.5000000356 6928602.100001501, 563946.6000000356 6928638.000001501, 563946.7000000356 6928672.300001498, 563939.8000000357 6928699.0000014985, 563878.8600000356 6928804.460001501, 563834.6100000356 6928879.3500015, 563798.4000000358 6928924.5000015, 563780.9000000356 6928933.600001498, 563762.9000000358 6928939.200001501, 563727.0000000357 6928957.0000015, 563698.0800000356 6928999.080001499, 563685.1000000356 6929030.100001497, 563675.6900000356 6929057.910001496, 563671.2000000356 6929093.300001497, 563698.0000000357 6929084.300001497, 563928.2000000356 6929230.300001497, 564086.7600000354 6929529.280001496, 564237.0000000354 6929666.920001495, 564326.5000000354 6929796.500001493, 564369.1000000354 6930013.300001492, 564374.1000000354 6930034.100001492, 564388.3000000354 6930028.500001492, 564691.5000000352 6930204.400001491, 564778.6000000353 6930226.800001493, 564781.4800000353 6930167.520001492, 564790.1000000353 6929976.000001492, 564784.9000000353 6929904.000001494, 564770.0800000352 6929729.270001493, 564761.3200000353 6929642.4700014945, 564751.7000000353 6929556.600001495, 564718.9100000353 6929492.370001495, 564680.2000000353 6929423.200001496, 564633.4000000354 6929342.600001498, 564605.7000000353 6929297.700001497, 564584.8300000353 6929268.290001497, 564559.0000000354 6929234.100001496, 564536.2000000353 6929207.400001499, 564505.3000000354 6929174.400001498, 564463.7000000353 6929136.000001498, 564439.2000000353 6929101.400001498, 564424.3000000354 6929046.4000015, 564435.0000000355 6929000.100001498, 564478.6000000355 6928919.800001499, 564489.2000000353 6928883.800001499, 564484.6000000354 6928843.400001498, 564469.3000000354 6928806.400001498, 564459.3000000357 6928776.400001499, 564456.6000000355 6928749.7000015, 564461.6000000355 6928716.300001501, 564490.2000000353 6928593.9000015, 564494.1000000355 6928593.400001502, 564524.2400000355 6928554.560001501, 564444.7000000356 6928504.500001502, 564384.3000000357 6928424.800001503, 564338.6000000356 6928364.500001502, 564338.4000000356 6928339.500001503, 564434.4100000357 6928311.550001502, 564530.4300000357 6928283.600001501, 564603.6000000355 6928262.300001502, 564696.2200000354 6928224.600001502, 564788.8400000355 6928186.9000015035, 564833.8000000354 6928168.600001504, 564899.3900000355 6928093.120001505, 564801.2000000356 6928072.300001506, 564795.7000000353 6928074.700001503, 564707.8000000357 6928116.600001504, 564181.1500000356 6928275.630001501, 563793.5000000357 6928377.800001502, 563753.3400000356 6928390.0100015)));765400602;3471
Rouen_iris_number.2;MULTIPOLYGON (((561116.7000000363 6928879.400001501, 561202.6000000363 6928823.300001499, 561253.6000000363 6928788.400001502, 561272.1000000363 6928775.300001499, 561270.4000000363 6928765.0000014985, 561332.5700000363 6928640.020001499, 561410.3000000364 6928530.600001501, 561441.9000000363 6928514.900001501, 561432.4000000363 6928489.600001501, 561388.0500000364 6928385.400001502, 561322.0000000363 6928230.9000015035, 561299.0000000363 6928174.000001503, 561093.5000000364 6928276.320001504, 560987.4600000364 6928328.430001503, 560836.7000000365 6928403.500001502, 560888.1000000365 6928506.400001502, 560892.0000000366 6928515.500001499, 560897.3000000364 6928523.7000015015, 560901.3000000366 6928531.400001502, 560968.2900000364 6928616.200001501, 561047.9000000365 6928722.5000015, 561086.8000000364 6928808.800001499, 561116.7000000363 6928879.400001501)));765400104;2494
Rouen_iris_number.3;MULTIPOLYGON (((561122.2000000365 6927778.700001505, 561088.7000000365 6927784.500001506, 561024.8000000366 6927810.700001504, 560857.9000000366 6927887.200001505, 560799.3000000366 6927951.000001505, 560697.6000000366 6928064.200001507, 560601.1000000365 6928106.600001504, 560634.5700000365 6928162.220001502, 560669.0000000366 6928220.100001503, 560734.0000000366 6928335.5700015025, 560780.0000000366 6928429.0000015, 560781.0000000366 6928431.000001503, 560836.7000000365 6928403.500001502, 560987.4600000364 6928328.430001503, 561093.5000000364 6928276.320001504, 561299.0000000363 6928174.000001503, 561299.0000000363 6928171.9000015035, 561256.3000000365 6928059.500001504, 561238.6000000365 6928016.500001504, 561221.4000000365 6927976.200001505, 561202.0000000366 6927934.200001508, 561180.4500000365 6927893.100001505, 561150.7000000365 6927838.000001506, 561136.8000000366 6927810.300001506, 561122.2000000365 6927778.700001505)));765400306;2703
Rouen_iris_number.4;MULTIPOLYGON (((562193.9000000362 6927969.000001503, 562177.6600000362 6927973.300001503, 562157.200000036 6927981.400001504, 562058.2000000363 6928162.900001505, 562020.6500000362 6928238.870001503, 562027.4000000362 6928277.800001502, 562083.5000000362 6928256.700001502, 562194.5000000361 6928330.500001501, 562226.200000036 6928417.000001501, 562110.4000000361 6928592.900001502, 562118.2000000362 6928615.600001501, 562129.5000000361 6928611.300001501, 562169.700000036 6928597.400001499, 562193.8000000361 6928592.400001501, 562225.5000000361 6928588.300001501, 562266.4000000361 6928593.000001501, 562281.4000000361 6928594.900001502, 562297.4000000361 6928598.600001501, 562319.3000000361 6928601.8000015, 562350.4000000361 6928605.8000015, 562348.9000000361 6928540.500001502, 562372.0000000361 6928534.800001501, 562519.400000036 6928509.500001499, 562593.000000036 6928492.200001499, 562574.9000000361 6928409.000001503, 562567.1000000361 6928358.7000015015, 562554.1000000361 6928313.300001502, 562512.3000000361 6928334.800001502, 562486.6000000361 6928347.700001502, 562464.7000000359 6928356.1000015, 562405.1000000361 6928362.000001502, 562361.3000000361 6928259.900001502, 562320.450000036 6928078.200001502, 562228.9400000361 6927989.000001505, 562193.9000000362 6927969.000001503)));765400201;3426
Rouen_iris_number.5;MULTIPOLYGON (((563753.3400000356 6928390.0100015, 563707.0000000359 6928404.100001501, 563620.3000000359 6928442.900001503, 563303.0000000359 6928532.2000015, 563105.600000036 6928522.000001502, 563086.3000000359 6928525.4000015, 563086.900000036 6928583.500001502, 563099.5000000359 6928673.7000015, 563105.2000000358 6928720.3000015, 563121.8000000359 6928732.600001498, 563137.6000000358 6928775.2000015, 563173.1500000359 6928895.7000015015, 563207.4000000358 6929003.0000014985, 563240.2000000358 6929047.400001496, 563456.0000000356 6929306.400001498, 563504.4000000356 6929325.100001498, 563541.6000000356 6929333.8000014955, 563559.7000000356 6929312.500001497, 563593.6000000357 6929255.000001496, 563603.1000000357 6929217.300001499, 563606.9000000356 6929160.500001498, 563671.2000000356 6929093.300001497, 563675.6900000356 6929057.910001496, 563685.1000000356 6929030.100001497, 563698.0800000356 6928999.080001499, 563727.0000000357 6928957.0000015, 563762.9000000358 6928939.200001501, 563780.9000000356 6928933.600001498, 563798.4000000358 6928924.5000015, 563834.6100000356 6928879.3500015, 563878.8600000356 6928804.460001501, 563939.8000000357 6928699.0000014985, 563946.7000000356 6928672.300001498, 563946.6000000356 6928638.000001501, 563943.5000000356 6928602.100001501, 563872.5300000357 6928536.6000015, 563780.4000000358 6928484.5000015, 563768.4000000356 6928446.300001501, 563753.3400000356 6928390.0100015)));765400601;3184
Rouen_iris_number.6;MULTIPOLYGON (((564435.0000000355 6929000.100001498, 564424.3000000354 6929046.4000015, 564439.2000000353 6929101.400001498, 564463.7000000353 6929136.000001498, 564505.3000000354 6929174.400001498, 564536.2000000353 6929207.400001499, 564559.0000000354 6929234.100001496, 564584.8300000353 6929268.290001497, 564605.7000000353 6929297.700001497, 564633.4000000354 6929342.600001498, 564680.2000000353 6929423.200001496, 564718.9100000353 6929492.370001495, 564751.7000000353 6929556.600001495, 564780.0000000354 6929555.900001495, 564891.0000000354 6929555.900001494, 564971.7000000353 6929556.100001496, 564974.4000000353 6929583.600001495, 564990.8000000352 6929607.200001494, 565028.0000000352 6929657.900001495, 565041.0000000353 6929672.100001493, 565059.0000000353 6929691.600001494, 565070.1000000353 6929680.300001496, 565103.4000000352 6929644.100001491, 565136.6400000352 6929601.860001497, 565150.3000000352 6929559.600001492, 565152.4000000353 6929531.300001495, 565153.0000000353 6929260.900001497, 565047.6000000353 6929016.700001499, 564939.3100000354 6928977.940001498, 564621.7000000353 6928951.1000015, 564435.0000000355 6929000.100001498)));765400901;3266
Rouen_iris_number.7;MULTIPOLYGON (((561806.7000000363 6927170.500001509, 561800.2000000364 6927186.800001508, 561708.4500000363 6927402.800001509, 561520.7000000363 6927672.600001507, 561510.6000000364 6927680.700001505, 561506.3000000364 6927696.700001504, 561507.2000000363 6927708.600001506, 561511.9000000363 6927716.300001505, 561520.1000000363 6927721.800001507, 561533.1000000364 6927728.000001506, 561581.5000000363 6927733.000001504, 561666.2000000363 6927800.900001506, 561694.5000000363 6927824.500001504, 561703.5000000363 6927812.200001505, 561737.4000000363 6927768.100001503, 561771.9000000363 6927724.600001504, 561840.6000000363 6927640.200001507, 562107.0000000363 6927317.600001508, 562412.1000000363 6926956.400001508, 562545.8000000364 6926760.100001512, 562550.6200000363 6926743.270001513, 562546.0600000364 6926743.02000151, 562446.1100000363 6926739.64000151, 562346.1700000364 6926736.260001511, 562246.2300000363 6926732.88000151, 562146.2900000364 6926729.500001511, 562101.4200000364 6926728.080001511, 562103.1000000363 6926796.200001511, 562102.6000000363 6926952.000001509, 562062.9000000363 6927079.20000151, 562009.7000000363 6927161.200001508, 561973.4000000363 6927188.700001509, 561873.3000000364 6927181.500001508, 561844.7000000363 6927179.400001511, 561823.9000000365 6927176.400001508, 561806.7000000363 6927170.500001509)));765400302;28
Rouen_iris_number.8;MULTIPOLYGON (((562329.3000000364 6927902.000001504, 562384.1000000361 6927877.700001504, 562495.8000000361 6927824.600001506, 562656.4000000361 6927879.000001505, 562814.600000036 6927957.200001503, 562863.630000036 6928012.380001502, 562909.0000000359 6928078.000001502, 562964.0000000359 6928118.100001503, 563019.900000036 6928089.000001501, 563060.9400000358 6928069.000001504, 563104.9700000358 6928055.000001504, 563123.9800000358 6928049.000001505, 563179.0200000359 6928041.000001504, 563355.0900000359 6928026.500001504, 563673.0000000359 6928000.100001503, 563875.9000000359 6927981.600001506, 564045.4000000356 6927866.500001505, 564111.5000000359 6927789.070001508, 564160.0000000356 6927734.010001505, 564193.0000000356 6927698.000001505, 564521.5000000356 6927625.870001506, 564913.6000000355 6927551.800001505, 564917.2000000356 6927550.200001507, 564938.6700000355 6927482.560001506, 564877.9000000356 6927475.500001507, 564777.9300000356 6927473.230001505, 564677.9500000356 6927470.950001508, 564577.9800000356 6927468.680001504, 564478.0000000356 6927466.400001505, 564378.0300000357 6927464.130001509, 564310.9000000358 6927462.6000015065, 564212.1800000358 6927478.570001507, 564113.4700000358 6927494.540001504, 564014.7500000357 6927510.510001505, 563916.0300000359 6927526.480001509, 563817.3200000358 6927542.460001508, 563747.2000000358 6927553.800001507, 563648.5600000359 6927570.240001506, 563549.9200000359 6927586.670001505, 563451.2800000359 6927603.110001506, 563352.640000036 6927619.550001508, 563273.100000036 6927632.800001507, 563193.5500000359 6927572.200001506, 563114.010000036 6927511.600001507, 563034.460000036 6927451.000001508, 563031.700000036 6927448.900001506, 563007.0300000361 6927351.990001507, 562982.3700000361 6927255.080001509, 562957.700000036 6927158.170001508, 562933.0300000361 6927061.2600015085, 562908.3700000361 6926964.350001509, 562887.0000000361 6926880.400001511, 562883.190000036 6926907.530001509, 562875.1000000361 6926939.00000151, 562506.0000000362 6927506.000001507, 562467.0000000363 6927567.000001506, 562468.0000000363 6927568.000001507, 562454.0000000362 6927597.000001506, 562305.0000000363 6927792.000001506, 562261.0000000362 6927841.000001505, 562250.0000000363 6927847.000001505, 562329.3000000364 6927902.000001504)));765400604;2452
Rouen_iris_number.9;MULTIPOLYGON (((561122.2000000365 6927778.700001505, 561136.8000000366 6927810.300001506, 561150.7000000365 6927838.000001506, 561180.4500000365 6927893.100001505, 561202.0000000366 6927934.200001508, 561221.4000000365 6927976.200001505, 561238.6000000365 6928016.500001504, 561256.3000000365 6928059.500001504, 561299.0000000363 6928171.9000015035, 561299.0000000363 6928174.000001503, 561511.3500000363 6928073.990001502, 561591.9200000364 6928040.270001504, 561658.2700000363 6928003.820001504, 561713.4700000363 6927969.560001505, 561790.6000000363 6927921.4000015035, 561800.6000000363 6927910.400001506, 561773.7000000363 6927890.300001503, 561728.9000000363 6927856.400001504, 561710.6000000363 6927839.600001505, 561694.5000000363 6927824.500001504, 561666.2000000363 6927800.900001506, 561581.5000000363 6927733.000001504, 561533.1000000364 6927728.000001506, 561520.1000000363 6927721.800001507, 561511.9000000363 6927716.300001505, 561507.2000000363 6927708.600001506, 561506.3000000364 6927696.700001504, 561510.6000000364 6927680.700001505, 561465.0000000366 6927644.1000015065, 561251.5000000366 6927376.600001509, 561214.8000000366 6927040.8000015095, 561212.2400000365 6926931.90000151, 561218.5000000367 6926848.200001512, 561190.3000000366 6926860.200001512, 561115.4000000366 6926892.400001511, 561058.4000000366 6926921.500001509, 560864.3000000368 6927030.400001511, 560837.3000000367 6927047.100001508, 560824.8000000367 6927056.500001509, 560812.4000000368 6927067.600001512, 560763.8400000366 6927111.180001509, 560743.6800000367 6927132.980001508, 560687.2500000368 6927196.40000151, 560674.0000000368 6927211.800001507, 560664.8000000368 6927223.50000151, 560655.1000000366 6927238.70000151, 560646.2000000367 6927253.600001509, 560636.1000000366 6927272.300001509, 560629.7000000367 6927288.400001508, 560622.2000000367 6927309.3000015095, 560620.8000000367 6927325.700001508, 560618.1400000367 6927346.060001508, 560620.1000000365 6927371.100001507, 560627.3000000366 6927384.1000015065, 560645.8000000368 6927388.900001509, 560787.9000000367 6927441.000001506, 560871.4000000366 6927473.400001506, 560888.8000000367 6927480.300001508, 560907.6000000366 6927489.400001508, 560936.9000000366 6927506.500001508, 560963.1000000365 6927522.500001508, 560989.7000000365 6927545.200001508, 561014.7000000365 6927572.300001506, 561027.2000000365 6927587.400001507, 561041.4000000366 6927605.700001508, 561058.3000000366 6927634.300001505, 561068.6000000365 6927654.800001508, 561094.3000000366 6927708.200001505, 561102.3000000366 6927729.200001508, 561109.0000000366 6927747.000001507, 561115.3000000365 6927762.500001504, 561122.2000000365 6927778.700001505)));765400304;3635
Rouen_iris_number.10;MULTIPOLYGON (((561122.2000000365 6927778.700001505, 561115.3000000365 6927762.500001504, 561109.0000000366 6927747.000001507, 561102.3000000366 6927729.200001508, 561094.3000000366 6927708.200001505, 561068.6000000365 6927654.800001508, 561058.3000000366 6927634.300001505, 561041.4000000366 6927605.700001508, 561027.2000000365 6927587.400001507, 561014.7000000365 6927572.300001506, 560989.7000000365 6927545.200001508, 560963.1000000365 6927522.500001508, 560936.9000000366 6927506.500001508, 560907.6000000366 6927489.400001508, 560888.8000000367 6927480.300001508, 560871.4000000366 6927473.400001506, 560787.9000000367 6927441.000001506, 560645.8000000368 6927388.900001509, 560627.3000000366 6927384.1000015065, 560621.4000000368 6927395.300001507, 560613.7000000367 6927414.700001507, 560615.8000000368 6927464.600001508, 560616.6000000368 6927513.400001507, 560616.3000000368 6927574.100001507, 560606.3000000367 6927617.900001505, 560603.0000000368 6927630.500001507, 560593.5000000367 6927662.800001505, 560584.3000000366 6927688.900001505, 560575.8000000366 6927704.600001506, 560564.3000000366 6927720.700001506, 560550.0000000368 6927736.900001505, 560526.4000000367 6927757.000001506, 560449.3000000368 6927822.400001507, 560434.7000000367 6927834.500001504, 560469.0000000367 6927898.000001506, 560558.5100000366 6928039.9000015035, 560601.1000000365 6928106.600001504, 560697.6000000366 6928064.200001507, 560799.3000000366 6927951.000001505, 560857.9000000366 6927887.200001505, 561024.8000000366 6927810.700001504, 561088.7000000365 6927784.500001506, 561122.2000000365 6927778.700001505)));765400305;3351
Rouen_iris_number.11;MULTIPOLYGON (((565318.800000035 6930245.200001491, 565251.2200000351 6930337.360001491, 565244.2000000349 6930346.100001489, 565021.3100000352 6930311.530001492, 564822.3000000353 6930240.000001493, 564778.1000000351 6930232.700001492, 564774.1000000351 6930296.800001491, 564765.0000000353 6930361.900001491, 564749.8300000351 6930421.4400014905, 564742.3000000352 6930439.320001491, 564548.5000000353 6930713.80000149, 564536.7000000351 6930725.800001491, 564522.3000000353 6930733.300001489, 564510.4800000354 6930732.85000149, 564502.1000000351 6930719.800001488, 564555.6100000353 6930804.2800014885, 564583.3000000352 6930848.000001489, 564669.8000000353 6930898.180001489, 564756.3000000352 6930948.350001487, 564842.8000000351 6930998.530001485, 564929.3000000352 6931048.710001487, 564933.6000000351 6931051.200001488, 565030.1300000352 6931077.330001486, 565079.9000000352 6931090.800001485, 565178.9300000351 6931104.720001488, 565180.9000000351 6931105.000001487, 565165.4000000351 6931040.100001487, 565185.2000000349 6931015.000001486, 565263.2100000349 6930952.440001488, 565341.230000035 6930889.880001489, 565361.4000000351 6930873.700001488, 565432.9800000349 6930803.870001487, 565504.560000035 6930734.040001489, 565576.150000035 6930664.220001489, 565643.0000000349 6930599.00000149, 565680.4300000351 6930506.270001491, 565717.8500000349 6930413.54000149, 565755.280000035 6930320.800001491, 565792.7100000349 6930228.070001492, 565830.130000035 6930135.340001493, 565867.560000035 6930042.610001491, 565887.300000035 6929993.700001492, 565887.1000000349 6929963.700001493, 565787.370000035 6929971.030001492, 565687.6400000349 6929978.370001494, 565657.3000000351 6929980.6000014935, 565559.070000035 6929999.320001492, 565547.6000000351 6930001.500001492, 565512.800000035 6930031.800001491, 565464.5000000352 6930119.360001493, 565438.000000035 6930167.400001491, 565354.2600000349 6930222.060001491, 565318.800000035 6930245.200001491)));765400801;1759
