Individual,Age,CSP,iris,Couple,Sexe
1,70 à 74 ans,Retraités,765400306,Vivant en couple,Hommes
2,80 à 84 ans,Retraités,765400101,Ne vivant pas en couple,Femmes
3,15 à 19 ans,Autres personnes sans activité professionnelle,765401003,Ne vivant pas en couple,Hommes
4,35 à 39 ans,Employés,765400402,Ne vivant pas en couple,Hommes
5,70 à 74 ans,Retraités,765400604,Vivant en couple,Femmes
6,35 à 39 ans,Professions intermédiaires,765400103,Vivant en couple,Hommes
7,20 à 24 ans,Autres personnes sans activité professionnelle,765400204,Ne vivant pas en couple,Hommes
8,80 à 84 ans,Retraités,765400901,Ne vivant pas en couple,Hommes
9,20 à 24 ans,Ouvriers,765400102,Ne vivant pas en couple,Hommes
10,10 à 14 ans,null,765400102,null,Hommes
11,Moins de 5 ans,null,765401003,null,Femmes
12,60 à 64 ans,Retraités,765400402,Ne vivant pas en couple,Femmes
13,20 à 24 ans,Autres personnes sans activité professionnelle,765401003,Ne vivant pas en couple,Hommes
14,10 à 14 ans,null,765401003,null,Hommes
15,25 à 29 ans,Employés,765400204,Vivant en couple,Femmes
16,60 à 64 ans,Retraités,765400902,Vivant en couple,Hommes
17,50 à 54 ans,Autres personnes sans activité professionnelle,765400204,Ne vivant pas en couple,Femmes
18,5 à 9 ans,null,765400203,null,Femmes
19,30 à 34 ans,Cadres et professions intellectuelles supérieures,765400602,Vivant en couple,Hommes
20,80 à 84 ans,Retraités,765401005,Ne vivant pas en couple,Hommes
21,80 à 84 ans,Retraités,765400501,Ne vivant pas en couple,Hommes
22,40 à 44 ans,Employés,765400203,Vivant en couple,Femmes
23,60 à 64 ans,Ouvriers,765401001,Vivant en couple,Femmes
24,50 à 54 ans,Employés,765400305,Ne vivant pas en couple,Femmes
25,40 à 44 ans,Professions intermédiaires,765400501,Vivant en couple,Hommes
26,40 à 44 ans,Ouvriers,765400901,Vivant en couple,Hommes
27,55 à 59 ans,Retraités,765400202,Vivant en couple,Femmes
28,5 à 9 ans,null,765400404,null,Femmes
29,40 à 44 ans,Employés,765400504,Vivant en couple,Femmes
30,50 à 54 ans,Employés,765400902,Vivant en couple,Femmes
31,Moins de 5 ans,null,765400402,null,Femmes
32,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400402,Vivant en couple,Hommes
33,5 à 9 ans,null,765401003,null,Hommes
34,75 à 79 ans,Retraités,765400802,Vivant en couple,Femmes
35,35 à 39 ans,Employés,765400103,Vivant en couple,Femmes
36,10 à 14 ans,null,765400301,null,Femmes
37,5 à 9 ans,null,765400306,null,Hommes
38,20 à 24 ans,Autres personnes sans activité professionnelle,765401001,Ne vivant pas en couple,Femmes
39,70 à 74 ans,Retraités,765400305,Vivant en couple,Femmes
40,10 à 14 ans,null,765400404,null,Femmes
41,65 à 69 ans,Retraités,765400602,Ne vivant pas en couple,Femmes
42,75 à 79 ans,Retraités,765400203,Vivant en couple,Femmes
43,5 à 9 ans,null,765400802,null,Hommes
44,5 à 9 ans,null,765400306,null,Femmes
45,85 à 89 ans,Retraités,765401002,Ne vivant pas en couple,Femmes
46,80 à 84 ans,Retraités,765401005,Ne vivant pas en couple,Hommes
47,80 à 84 ans,Retraités,765400601,Ne vivant pas en couple,Hommes
48,40 à 44 ans,Professions intermédiaires,765400801,Vivant en couple,Femmes
49,30 à 34 ans,Professions intermédiaires,765400504,Vivant en couple,Femmes
50,35 à 39 ans,Autres personnes sans activité professionnelle,765400106,Vivant en couple,Hommes
51,5 à 9 ans,null,765400502,null,Femmes
52,20 à 24 ans,Autres personnes sans activité professionnelle,765400801,Vivant en couple,Femmes
53,30 à 34 ans,Professions intermédiaires,765400502,Vivant en couple,Hommes
54,15 à 19 ans,Autres personnes sans activité professionnelle,765400601,Ne vivant pas en couple,Hommes
55,35 à 39 ans,Employés,765400501,Vivant en couple,Hommes
56,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400201,Ne vivant pas en couple,Femmes
57,30 à 34 ans,Artisans. commerçants. chefs d'entreprise,765400701,Ne vivant pas en couple,Femmes
58,25 à 29 ans,Cadres et professions intellectuelles supérieures,765400502,Vivant en couple,Hommes
59,25 à 29 ans,Artisans. commerçants. chefs d'entreprise,765400802,Vivant en couple,Hommes
60,30 à 34 ans,Ouvriers,765400702,Vivant en couple,Hommes
61,5 à 9 ans,null,765400304,null,Hommes
62,60 à 64 ans,Retraités,765401005,Vivant en couple,Hommes
63,25 à 29 ans,Autres personnes sans activité professionnelle,765400105,Vivant en couple,Hommes
64,30 à 34 ans,Employés,765400502,Vivant en couple,Femmes
65,30 à 34 ans,Ouvriers,765400305,Vivant en couple,Hommes
66,30 à 34 ans,Employés,765400102,Vivant en couple,Hommes
67,30 à 34 ans,Ouvriers,765400802,Vivant en couple,Hommes
68,10 à 14 ans,null,765401002,null,Hommes
69,15 à 19 ans,Autres personnes sans activité professionnelle,765400202,Ne vivant pas en couple,Hommes
70,60 à 64 ans,Ouvriers,765400502,Vivant en couple,Hommes
71,5 à 9 ans,null,765400403,null,Femmes
72,10 à 14 ans,null,765400202,null,Hommes
73,15 à 19 ans,Autres personnes sans activité professionnelle,765400403,Ne vivant pas en couple,Hommes
74,40 à 44 ans,Employés,765400102,Ne vivant pas en couple,Femmes
75,75 à 79 ans,Retraités,765401001,Vivant en couple,Femmes
76,40 à 44 ans,Employés,765400405,Vivant en couple,Femmes
77,55 à 59 ans,Professions intermédiaires,765401002,Vivant en couple,Hommes
78,50 à 54 ans,Employés,765401003,Ne vivant pas en couple,Femmes
79,10 à 14 ans,null,765400305,null,Femmes
80,15 à 19 ans,Autres personnes sans activité professionnelle,765400103,Ne vivant pas en couple,Hommes
81,55 à 59 ans,Employés,765400201,Ne vivant pas en couple,Hommes
