Message  | Plan: 'Plan 04' (HelloWorldCoupling.p04)
Message  | Simulation started at: 12Jul2020 01:54:16 PM
Message  | PROCESS:RasGeomWriter
Message  | 
Message  | Writing Geometry
Message  | Hello 2D Area: Mesh property tables are current.
Progress | 1
Message  | Completed Writing Geometry
Message  | PROCESS:RASGeomPreprocess
Message  | 	
Message  | Geometric Preprocessor HEC-RAS 5.0.6 November
Progress | 0.2
Progress | 0.3
Progress | 0.3333333
Progress | 1
Message  | 
Message  | Finished Processing Geometry
Message  | 
Message  | Starting to copy Geometry Data to Results
Message  | Completed copying Geometry Data to Results
Message  | 
Message  | PROCESS:RasUnsteady
Message  | 
Message  | Performing Unsteady Flow Simulation  HEC-RAS 5.0.6 November
Message  | 
Progress | 0.1
Progress | 0.2
Progress | 0.3
Progress | 0.3285714
Progress | 0.3571429
Progress | 0.3857143
Progress | 0.4142857
Progress | 0.4428571
Progress | 0.4714286
Progress | 0.5
Progress | 0.5285715
Progress | 0.5571429
Progress | 0.5857143
Progress | 0.6142858
Progress | 0.6428572
Progress | 0.6714286
Progress | 0.6
Progress | 0.7333333
Progress | 6.944445E-04
Progress | 2.152778E-02
Progress | 4.236111E-02
Progress | 6.319445E-02
Progress | 8.402777E-02
Progress | 0.1048611
Progress | 0.1256944
Progress | 0.1465278
Progress | 0.1673611
Progress | 0.1881945
Progress | 0.2090278
Progress | 0.2298611
Progress | 0.2506945
Progress | 0.2715278
Progress | 0.2923611
Progress | 0.3131945
Progress | 0.3340278
Progress | 0.3548611
Progress | 0.3756944
Progress | 0.3965278
Progress | 0.4173611
Progress | 0.4381944
Progress | 0.4590278
Progress | 0.4798611
Progress | 0.5006945
Progress | 0.5215278
Progress | 0.5423611
Message  | Maximum iterations of 20		Cell	 WSEL	ERROR	CONVERGENCE
Message  | 
Message  | 25JUL2019 13:31:00  Hello 2D Area	Cell #	       665	 101.85	 0.3032	 2
Progress | 0.5631945
Message  | 25JUL2019 13:33:00  Hello 2D Area	Cell #	       665	 102.46	 0.3022	 2
Message  | 25JUL2019 13:34:00  Hello 2D Area	Cell #	       665	 102.76	 0.3017	 2
Message  | 25JUL2019 13:36:00  Hello 2D Area	Cell #	       665	 103.36	 0.3007	 2
Message  | 25JUL2019 13:41:00  Hello 2D Area	Cell #	       665	 104.86	 0.2983	 2
Message  | 25JUL2019 13:42:00  Hello 2D Area	Cell #	       665	 105.16	 0.2979	 2
Message  | 25JUL2019 13:43:00  Hello 2D Area	Cell #	       665	 105.45	 0.2974	 2
Message  | 25JUL2019 13:45:00  Hello 2D Area	Cell #	       665	 106.05	 0.2964	 2
Message  | 25JUL2019 13:46:00  Hello 2D Area	Cell #	       665	 106.34	 0.2959	 2
Message  | 25JUL2019 13:47:00  Hello 2D Area	Cell #	       665	 106.64	 0.2954	 2
Message  | 25JUL2019 13:48:00  Hello 2D Area	Cell #	       665	 106.93	 0.2950	 2
Message  | 25JUL2019 13:49:00  Hello 2D Area	Cell #	       665	 107.23	 0.2945	 2
Message  | 25JUL2019 13:50:00  Hello 2D Area	Cell #	       665	 107.52	 0.2940	 2
Message  | 25JUL2019 13:51:00  Hello 2D Area	Cell #	       665	 107.81	 0.2935	 2
Message  | 25JUL2019 13:52:00  Hello 2D Area	Cell #	       665	 108.11	 0.2931	 1
Message  | 25JUL2019 13:53:00  Hello 2D Area	Cell #	       665	 108.40	 0.2925	 2
Message  | 25JUL2019 13:54:00  Hello 2D Area	Cell #	       665	 108.69	 0.2920	 2
Message  | 25JUL2019 13:55:00  Hello 2D Area	Cell #	       665	 108.98	 0.2915	 2
Message  | 25JUL2019 13:56:00  Hello 2D Area	Cell #	       665	 109.27	 0.2911	 2
Message  | 25JUL2019 13:57:00  Hello 2D Area	Cell #	       665	 109.57	 0.2906	 2
Message  | 25JUL2019 13:58:00  Hello 2D Area	Cell #	       665	 109.86	 0.2902	 2
Message  | 25JUL2019 13:59:00  Hello 2D Area	Cell #	       665	 110.14	 0.2896	 2
Message  | 25JUL2019 14:00:00  Hello 2D Area	Cell #	       665	 110.43	 0.2892	 2
Message  | 25JUL2019 14:01:00  Hello 2D Area	Cell #	       665	 110.72	 0.2887	 2
Progress | 0.5840278
Message  | 25JUL2019 14:02:00  Hello 2D Area	Cell #	       665	 111.01	 0.2883	 2
Message  | 25JUL2019 14:03:00  Hello 2D Area	Cell #	       665	 111.30	 0.2877	 2
Message  | 25JUL2019 14:04:00  Hello 2D Area	Cell #	       665	 111.59	 0.2872	 2
Message  | 25JUL2019 14:05:00  Hello 2D Area	Cell #	       665	 111.87	 0.2868	 2
Message  | 25JUL2019 14:06:00  Hello 2D Area	Cell #	       665	 112.16	 0.2863	 2
Message  | 25JUL2019 14:07:00  Hello 2D Area	Cell #	       665	 112.44	 0.2857	 2
Message  | 25JUL2019 14:08:00  Hello 2D Area	Cell #	       665	 112.73	 0.2853	 2
Message  | 25JUL2019 14:09:00  Hello 2D Area	Cell #	       665	 113.01	 0.2848	 2
Message  | 25JUL2019 14:10:00  Hello 2D Area	Cell #	       665	 113.30	 0.2843	 2
Message  | 25JUL2019 14:11:00  Hello 2D Area	Cell #	       665	 113.58	 0.2839	 2
Message  | 25JUL2019 14:12:00  Hello 2D Area	Cell #	       665	 113.87	 0.2834	 1
Message  | 25JUL2019 14:13:00  Hello 2D Area	Cell #	       665	 114.15	 0.2829	 2
Message  | 25JUL2019 14:14:00  Hello 2D Area	Cell #	       665	 114.43	 0.2824	 2
Message  | 25JUL2019 14:15:00  Hello 2D Area	Cell #	       665	 114.71	 0.2820	 2
Message  | 25JUL2019 14:16:00  Hello 2D Area	Cell #	       665	 115.00	 0.2814	 2
Message  | 25JUL2019 14:17:00  Hello 2D Area	Cell #	       665	 115.28	 0.2810	 2
Message  | 25JUL2019 14:18:00  Hello 2D Area	Cell #	       665	 115.56	 0.2805	 2
Message  | 25JUL2019 14:19:00  Hello 2D Area	Cell #	       665	 115.84	 0.2800	 2
Message  | 25JUL2019 14:20:00  Hello 2D Area	Cell #	       665	 116.12	 0.2796	 1
Message  | 25JUL2019 14:21:00  Hello 2D Area	Cell #	       665	 116.40	 0.2791	 2
Message  | 25JUL2019 14:22:00  Hello 2D Area	Cell #	       665	 116.67	 0.2785	 2
Message  | 25JUL2019 14:23:00  Hello 2D Area	Cell #	       665	 116.95	 0.2781	 2
Message  | 25JUL2019 14:24:00  Hello 2D Area	Cell #	       665	 117.23	 0.2776	 2
Message  | 25JUL2019 14:25:00  Hello 2D Area	Cell #	       665	 117.51	 0.2771	 2
Message  | 25JUL2019 14:26:00  Hello 2D Area	Cell #	       665	 117.78	 0.2767	 2
Message  | 25JUL2019 14:27:00  Hello 2D Area	Cell #	       665	 118.06	 0.2762	 1
Message  | 25JUL2019 14:28:00  Hello 2D Area	Cell #	       665	 118.34	 0.2757	 2
Message  | 25JUL2019 14:29:00  Hello 2D Area	Cell #	       665	 118.61	 0.2751	 2
Message  | 25JUL2019 14:30:00  Hello 2D Area	Cell #	       665	 118.89	 0.2747	 2
Message  | 25JUL2019 14:31:00  Hello 2D Area	Cell #	       665	 119.16	 0.2743	 1
Progress | 0.6048611
Message  | 25JUL2019 14:32:00  Hello 2D Area	Cell #	       665	 119.43	 0.2737	 2
Message  | 25JUL2019 14:33:00  Hello 2D Area	Cell #	       665	 119.71	 0.2733	 2
Message  | 25JUL2019 14:34:00  Hello 2D Area	Cell #	       665	 119.98	 0.2727	 2
Message  | 25JUL2019 14:35:00  Hello 2D Area	Cell #	       665	 120.25	 0.2723	 2
Message  | 25JUL2019 14:36:00  Hello 2D Area	Cell #	       665	 120.52	 0.2719	 2
Message  | 25JUL2019 14:37:00  Hello 2D Area	Cell #	       665	 120.79	 0.2714	 2
Message  | 25JUL2019 14:38:00  Hello 2D Area	Cell #	       665	 121.07	 0.2708	 2
Message  | 25JUL2019 14:39:00  Hello 2D Area	Cell #	       665	 121.34	 0.2704	 2
Message  | 25JUL2019 14:40:00  Hello 2D Area	Cell #	       665	 121.61	 0.2698	 2
Message  | 25JUL2019 14:41:00  Hello 2D Area	Cell #	       665	 121.88	 0.2694	 2
Message  | 25JUL2019 14:42:00  Hello 2D Area	Cell #	       665	 122.14	 0.2689	 2
